ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11841048,JC448680,09/25/2019 11:59:00 PM,056XX S HERMITAGE AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,true,true,0715,007,15,67,04A,1165640,1867304,2019,10/02/2019 04:23:12 PM,41.791470192,-87.668167885,"(41.791470192, -87.668167885)",44,22257,65,385,3,23,17,270
11841070,JC448683,09/25/2019 11:57:00 PM,010XX S OAKLEY BLVD,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,false,false,1225,012,28,28,26,1161215,1895116,2019,10/02/2019 04:23:12 PM,41.867882277,-87.683622267,"(41.867882277, -87.683622267)",8,21184,29,5,23,28,15,139
11843139,JC448677,09/25/2019 11:55:00 PM,060XX N CALDWELL AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,1621,016,39,12,04A,1141779,1939954,2019,10/02/2019 04:23:12 PM,41.991303805,-87.75386356,"(41.991303805, -87.75386356)",20,22532,12,782,38,18,12,38
11841058,JC448689,09/25/2019 11:55:00 PM,094XX S STONY ISLAND AVE,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,true,false,0413,004,8,48,26,1188495,1842739,2019,10/02/2019 04:23:12 PM,41.723545812,-87.585147434,"(41.723545812, -87.585147434)",9,21202,44,492,35,61,19,246
11842268,JC448675,09/25/2019 11:55:00 PM,005XX E 73RD ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,false,true,0323,003,6,69,04B,1181290,1856739,2019,10/02/2019 04:23:12 PM,41.762132205,-87.611108188,"(41.762132205, -87.611108188)",31,21546,67,515,32,61,18,223
11841078,JC448692,09/25/2019 11:50:00 PM,038XX W ROOSEVELT RD,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,SIDEWALK,false,false,1011,010,24,29,24,1151069,1894439,2019,10/02/2019 04:23:12 PM,41.866229192,-87.720888008,"(41.866229192, -87.720888008)",36,21572,30,33,14,57,21,155
11841057,JC448681,09/25/2019 11:50:00 PM,005XX W 103RD PL,2027,NARCOTICS,POSS: CRACK,STREET,true,false,2232,022,34,49,18,1174579,1836258,2019,10/02/2019 04:23:12 PM,41.706081621,-87.63631264,"(41.706081621, -87.63631264)",45,21861,45,525,22,19,9,253
11841072,JC448663,09/25/2019 11:34:00 PM,030XX N CENTRAL AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,APARTMENT,true,false,2514,025,31,19,18,1138507,1919601,2019,10/02/2019 04:23:12 PM,41.935513441,-87.766394369,"(41.935513441, -87.766394369)",7,22254,19,82,17,52,6,177
11841154,JC448720,09/25/2019 11:31:00 PM,063XX S DR MARTIN LUTHER KING JR DR,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0312,003,20,69,18,1180005,1863280,2019,10/02/2019 04:23:12 PM,41.780110888,-87.615617777,"(41.780110888, -87.615617777)",53,22260,9,332,4,60,18,277
11841387,JC449050,09/25/2019 11:30:00 PM,034XX W CORTLAND ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1422,014,1,22,14,1153211,1912415,2019,10/02/2019 04:23:12 PM,41.915514919,-87.712547053,"(41.915514919, -87.712547053)",10,22535,23,387,41,1,7,190
11841108,JC448659,09/25/2019 11:30:00 PM,082XX S KENWOOD AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,false,true,0411,004,8,45,04A,1186640,1850613,2019,10/02/2019 04:23:12 PM,41.745196938,-87.59169355,"(41.745196938, -87.59169355)",9,21546,41,133,35,61,19,224
11841068,JC448679,09/25/2019 11:29:00 PM,030XX W FRANKLIN BLVD,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,true,true,1221,012,27,23,26,1155800,1903175,2019,10/02/2019 04:23:12 PM,41.890107723,-87.70328458,"(41.890107723, -87.70328458)",41,21184,24,177,46,28,15,80
11841086,JC448665,09/25/2019 11:23:00 PM,036XX W 60TH ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,false,false,0822,008,23,65,09,1153151,1864581,2019,10/02/2019 04:23:12 PM,41.784253906,-87.714034866,"(41.784253906, -87.714034866)",23,21867,63,339,6,58,13,129
11841020,JC448666,09/25/2019 11:15:00 PM,036XX N SHEFFIELD AVE,0460,BATTERY,SIMPLE,ALLEY,false,false,1923,019,44,6,08B,1168955,1924415,2019,10/02/2019 04:23:12 PM,41.948116215,-87.654356017,"(41.948116215, -87.654356017)",38,21186,57,727,25,53,5,12
11841974,JC449506,09/25/2019 11:15:00 PM,050XX S WOODLAWN AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0222,002,4,39,06,1185087,1871796,2019,10/02/2019 04:23:12 PM,41.803361576,-87.596719106,"(41.803361576, -87.596719106)",1,21192,5,356,10,10,24,113
11841120,JC448656,09/25/2019 11:10:00 PM,0000X S LEAVITT ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,1223,012,27,28,26,1161749,1899869,2019,10/02/2019 04:23:12 PM,41.880913833,-87.68152935,"(41.880913833, -87.68152935)",48,21184,29,89,46,28,15,75
11841012,JC448650,09/25/2019 11:03:00 PM,0000X S CICERO AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1533,015,28,25,18,1144393,1899494,2019,10/02/2019 04:23:12 PM,41.880228821,-87.745269305,"(41.880228821, -87.745269305)",11,22216,26,69,23,32,25,137
11841031,JC448643,09/25/2019 11:01:00 PM,018XX S LAWNDALE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1014,010,24,29,06,1151993,1890744,2019,10/02/2019 04:23:12 PM,41.856071543,-87.717593185,"(41.856071543, -87.717593185)",36,21569,30,800,14,57,21,156
11841064,JC448697,09/25/2019 11:00:00 PM,034XX S CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0911,009,12,58,06,1158249,1882014,2019,10/02/2019 04:23:12 PM,41.831990039,-87.69486863,"(41.831990039, -87.69486863)",29,22248,55,638,1,43,23,96
11841921,JC449782,09/25/2019 11:00:00 PM,010XX W GRANVILLE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2433,024,48,77,07,1168019,1941344,2019,10/02/2019 04:23:12 PM,41.994590208,-87.657305497,"(41.994590208, -87.657305497)",40,4451,76,45,16,14,11,50
11841098,JC448719,09/25/2019 11:00:00 PM,052XX S KEDZIE AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,SMALL RETAIL STORE,true,false,0923,009,14,63,18,1155937,1869636,2019,10/02/2019 04:23:12 PM,41.798070027,-87.70368447,"(41.798070027, -87.70368447)",49,22248,61,777,8,56,23,120
11842155,JC449221,09/25/2019 11:00:00 PM,019XX S SPAULDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,1024,010,24,29,14,1154670,1890305,2019,10/02/2019 04:23:12 PM,41.854813778,-87.707778926,"(41.854813778, -87.707778926)",36,21569,30,202,14,57,21,130
11841113,JC448672,09/25/2019 11:00:00 PM,079XX S ELLIS AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,0624,006,8,44,08B,1184272,1852501,2019,10/02/2019 04:23:12 PM,41.750433485,-87.600311248,"(41.750433485, -87.600311248)",9,21546,40,247,35,61,20,227
11842080,JC448640,09/25/2019 11:00:00 PM,063XX N NOKOMIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1621,016,39,12,08B,1140189,1941997,2019,10/02/2019 04:23:12 PM,41.996939321,-87.759661741,"(41.996939321, -87.759661741)",34,22532,12,782,38,18,12,38
11840997,JC448658,09/25/2019 10:53:00 PM,036XX N SOUTHPORT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1923,019,44,6,14,1166321,1924347,2019,10/02/2019 04:23:12 PM,41.94798647,-87.664039935,"(41.94798647, -87.664039935)",38,21186,57,728,25,53,5,19
11841039,JC448629,09/25/2019 10:52:00 PM,047XX W MADISON ST,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,STREET,false,true,1113,011,28,25,04B,1144781,1899601,2019,10/02/2019 04:23:12 PM,41.880515138,-87.743841898,"(41.880515138, -87.743841898)",11,22216,26,696,23,32,16,90
11841159,JC448678,09/25/2019 10:47:00 PM,001XX E PEARSON ST,0560,ASSAULT,SIMPLE,HOTEL/MOTEL,false,false,1833,018,2,8,08A,1177694,1906077,2019,10/02/2019 04:23:12 PM,41.897601664,-87.622792233,"(41.897601664, -87.622792233)",22,21182,37,233,11,6,14,71
11841014,JC448623,09/25/2019 10:45:00 PM,052XX W LAKE ST,2017,NARCOTICS,MANU/DELIVER:CRACK,ALLEY,true,false,1523,015,37,25,18,1141214,1902043,2019,10/02/2019 04:23:12 PM,41.887282776,-87.756879522,"(41.887282776, -87.756879522)",11,22216,26,674,45,32,25,84
